City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Pochutla,MX,15.7432,-96.4661,82.22,53,13,8.05,few clouds
1,Severo-Kurilsk,RU,50.6789,156.125,36.07,92,86,9.64,overcast clouds
2,Hun,LY,29.1268,15.9477,79.63,16,84,21.54,broken clouds
3,Lima,PE,-12.0432,-77.0282,65.39,61,0,17.27,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,42.91,87,40,8.05,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,40.66,65,20,5.75,few clouds
6,Lebu,CL,-37.6167,-73.65,50.23,79,2,13.56,clear sky
7,Micheweni,TZ,-4.9667,39.8333,79.25,82,100,14.27,light rain
8,New Norfolk,AU,-42.7826,147.0587,61.66,63,94,4.0,overcast clouds
9,Bantayan,PH,11.2,123.7333,81.27,79,100,11.36,overcast clouds
10,Hofn,IS,64.2539,-15.2082,48.27,58,15,6.82,few clouds
11,Navirai,BR,-23.065,-54.1906,72.05,74,49,3.98,scattered clouds
12,Hobart,AU,-42.8794,147.3294,62.02,59,75,9.22,broken clouds
13,Vaini,TO,-21.2,-175.2,82.56,89,75,9.22,broken clouds
14,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,15,8.14,few clouds
15,Olafsvik,IS,64.8945,-23.7142,44.08,85,99,15.3,overcast clouds
16,Tasiilaq,GL,65.6145,-37.6368,30.36,64,33,3.38,scattered clouds
17,Novyy Svit,UA,47.8059,38.0211,49.95,59,94,9.66,overcast clouds
18,Busselton,AU,-33.65,115.3333,57.36,81,0,4.79,clear sky
19,Mar Del Plata,AR,-38.0023,-57.5575,50.88,73,0,5.99,clear sky
20,Rikitea,PF,-23.1203,-134.9692,76.57,73,73,10.49,moderate rain
21,Chulman,RU,56.8479,124.9104,29.68,60,19,5.28,few clouds
22,Katsuura,JP,35.1333,140.3,60.26,73,100,16.2,overcast clouds
23,Komsomolskiy,UZ,40.4272,71.7189,65.12,63,17,4.61,few clouds
24,East London,ZA,-33.0153,27.9116,61.05,71,3,11.86,clear sky
