City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Pochutla,MX,82.22,few clouds,15.7432,-96.4661,Hotel Posada San Jose
2,Hun,LY,79.63,broken clouds,29.1268,15.9477,Alrwasi Hotel
9,Bantayan,PH,81.27,overcast clouds,11.2,123.7333,Bantayan Island Nature Park and Resort
11,Navirai,BR,72.05,scattered clouds,-23.065,-54.1906,Dubai Hotel - Também sua casa!
13,Vaini,TO,82.56,broken clouds,-21.2,-175.2,Keleti Beach Resort
14,Saint-Philippe,RE,74.79,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
20,Rikitea,PF,76.57,moderate rain,-23.1203,-134.9692,People ThankYou
29,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
44,Atuona,PF,79.05,clear sky,-9.8,-139.0333,Villa Enata
55,Hilo,US,79.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
57,Laguna,US,82.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
58,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
63,Itarema,BR,77.5,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
65,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
69,Yarada,IN,82.24,few clouds,17.65,83.2667,Yarada Jungle Beach Resorts
72,Kloulklubed,PW,83.17,broken clouds,7.0419,134.2556,Storyboard Beach Resort
74,Saint-Pierre,RE,74.88,clear sky,-21.3393,55.4781,Lindsey Hôtel
87,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
91,Ramanuj Ganj,IN,76.41,clear sky,23.8,83.7,HOTEL SAI SIDDHI
94,Harper,LR,80.56,light rain,4.375,-7.7169,Screensaver
102,Victoria,HK,73.33,light rain,22.2855,114.1577,Mini Hotel Central
104,Labuhan,ID,81.21,overcast clouds,-6.8844,112.2051,DoubleFAG
107,Mankachar,IN,72.14,overcast clouds,25.5333,89.8667,Shuhan Sahil Hussain
115,Grand-Santi,GF,73.0,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
117,Ilheus,BR,76.82,scattered clouds,-14.7889,-39.0494,Barravento Hotel
118,Kavaratti,IN,84.65,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
123,Khuzdar,PK,76.57,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
127,Puerto Ayora,EC,73.02,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
128,Butaritari,KI,80.96,light rain,3.0707,172.7902,Isles Sunset Lodge
129,Sibolga,ID,77.38,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
134,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
135,Coahuayana,MX,81.95,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
137,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
140,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
141,Faanui,PF,81.1,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Takaungu,KE,80.01,light rain,-3.6837,39.8566,Takaungu House
144,Manokwari,ID,78.55,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
145,Mareeba,AU,75.49,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
149,Hambantota,LK,80.69,overcast clouds,6.1241,81.1185,Bungalow 63
151,Bengkulu,ID,74.91,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
153,Grand Gaube,MU,74.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
155,Kununurra,AU,84.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
157,Umm Lajj,SA,80.04,broken clouds,25.0213,37.2685,Moon light Furnished Units
160,Kavieng,PG,84.09,broken clouds,-2.5744,150.7967,Nusa Island Retreat
163,Saraland,US,79.52,clear sky,30.8207,-88.0706,Microtel Inn & Suites by Wyndham Saraland/North Mobile
165,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
166,Isangel,VU,80.08,overcast clouds,-19.55,169.2667,Tanna Lodge
172,Lorengau,PG,84.4,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
175,Biloela,AU,79.12,broken clouds,-24.4167,150.5,Silo Motor Inn Biloela
178,Pocola,US,75.04,clear sky,35.2312,-94.478,Expert Lube & Tune RV Park
186,Sao Felix Do Xingu,BR,71.82,broken clouds,-6.6447,-51.995,Rio Xingu Camping
187,La Belgica,BO,73.69,clear sky,-17.55,-63.2167,Colpa Caranda Eco Resort
189,Gizo,SB,84.18,broken clouds,-8.103,156.8419,Imagination Island
195,Jacksonville,US,74.05,broken clouds,30.3322,-81.6556,Hyatt Regency Jacksonville Riverfront
196,Iracoubo,GF,78.49,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
204,Waycross,US,77.23,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
206,Esmeraldas,BR,72.46,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
207,Nabire,ID,80.89,broken clouds,-3.3667,135.4833,Hotel Nusantara I
208,Sadao,TH,78.62,broken clouds,6.6388,100.4234,Banana Resort Sadao
213,Rapar,IN,82.44,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
214,Yenagoa,NG,76.71,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
215,Caravelas,BR,75.04,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
219,Chakia,IN,76.14,clear sky,26.4167,85.05,Adarsh home 🏠
222,Namibe,AO,74.88,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
223,Atambua,ID,78.82,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
225,Bambanglipuro,ID,78.44,overcast clouds,-7.95,110.2833,Puri Brata
228,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
231,Ratnagiri,IN,78.84,clear sky,16.9833,73.3,Hotel Landmark
233,Awjilah,LY,76.82,broken clouds,29.1081,21.2869,المنزل
238,Varadero,CU,77.76,clear sky,23.1536,-81.2514,Hotel Tuxpan Varadero
239,Tautira,PF,79.75,light rain,-17.7333,-149.15,Pension Oaoa
240,Jacareacanga,BR,74.7,moderate rain,-6.2222,-57.7528,Casa do Ian😎
241,Arraial Do Cabo,BR,73.72,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
243,Port-Gentil,GA,81.28,light rain,-0.7193,8.7815,Fengshui Residence
244,Souillac,MU,75.02,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
249,Hamilton,US,70.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
251,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
252,Sao Filipe,CV,73.02,broken clouds,14.8961,-24.4956,Hotel Xaguate
254,Bairiki,KI,80.29,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
255,Sulangan,PH,81.48,overcast clouds,11.1373,123.7228,Maia's Beach Resort
256,Martapura,ID,78.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
258,Mogadishu,SO,82.38,light rain,2.0371,45.3438,Hotel Juba
260,Sabha,LY,80.08,scattered clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
261,Jamkhed,IN,81.25,clear sky,18.7362,75.3121,Ugale's Residence
268,Seka,TH,77.99,overcast clouds,17.9285,103.9552,โรงแรมเสาวลักษณ์วิลล่า
272,San Angelo,US,84.94,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
280,Saquarema,BR,72.39,overcast clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
282,Karratha,AU,76.98,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
292,Bud,US,72.82,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
296,Afua,BR,75.11,broken clouds,-0.1567,-50.3867,Hotel Dias
298,Bull Savanna,JM,76.23,scattered clouds,17.8868,-77.5902,Big Red's
303,Vanimo,PG,84.15,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
306,Rajsamand,IN,84.52,clear sky,25.0667,73.8833,dev heritage
310,San Patricio,US,83.12,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
314,Stephenville,US,80.24,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
322,Gallup,US,73.24,clear sky,35.5281,-108.7426,Quality Inn & Suites Gallup I-40 Exit 20
326,Banjarmasin,ID,78.94,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
327,Touros,BR,80.24,few clouds,-5.1989,-35.4608,INN NEW HORIZON
330,Pringsewu,ID,75.25,overcast clouds,-5.3582,104.9744,Urban Style by Front One
331,Teknaf,BD,76.66,few clouds,20.8624,92.3058,Forestry Guesthouse
340,Cartagena,CO,82.02,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
341,Karangampel,ID,81.63,moderate rain,-6.4622,108.4519,ROOFTOP WAG ALL
342,Acari,PE,70.41,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
345,Quatre Cocos,MU,74.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
346,Puerto Suarez,BO,84.04,broken clouds,-18.95,-57.8,Hotel casa real
349,Nueva Gerona,CU,79.66,few clouds,21.8833,-82.8,Villa Gerona
350,Amuntai,ID,77.59,overcast clouds,-2.4177,115.2494,Hotel Balqis
351,Bintulu,MY,81.01,few clouds,3.1667,113.0333,900 Boutique INN
360,Jardim,BR,77.88,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
361,Salinopolis,BR,77.05,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
363,Mitsamiouli,KM,77.67,heavy intensity rain,-11.3847,43.2844,Foyer ADM
364,Mayfield,US,74.57,overcast clouds,36.7417,-88.6367,Super 8 by Wyndham Mayfield
367,Tinaquillo,VE,70.9,overcast clouds,9.9186,-68.3047,Hotel Los Copihues
369,Raigarh,IN,79.59,overcast clouds,21.9,83.4,Hotel Shivam
371,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
375,Acala,MX,73.62,few clouds,16.5667,-92.8,Hotel Jesus Acala
377,Akyab,MM,78.85,few clouds,20.15,92.9,Hotel Memory
387,Indiaroba,BR,73.51,overcast clouds,-11.5192,-37.5117,Pura Vida Bahia
390,Santa Rosalia,MX,76.93,scattered clouds,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
393,Bontang,ID,78.98,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
394,Lagunas,PE,72.86,broken clouds,-5.2269,-75.6753,Hospedaje Eco
396,Panlaitan,PH,84.11,overcast clouds,12.1191,119.8486,SOUTH BEACH
399,Nouakchott,MR,71.53,clear sky,18.0858,-15.9785,HOTEL IMAN
400,Kumta,IN,80.69,scattered clouds,14.4167,74.4,Hotel Vaibhav Palace
404,Conceicao Do Araguaia,BR,74.86,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
407,Fomboni,KM,81.0,moderate rain,-12.28,43.7425,Auberge les abou
409,Marsh Harbour,BS,72.7,moderate rain,26.5412,-77.0636,Abaco Beach Resort
410,Karaton,ID,74.93,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
413,Bartica,GY,77.32,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
415,Kimbe,PG,83.66,light rain,-5.5502,150.1429,Kimbe Bay Hotel
417,Aswan,EG,83.91,clear sky,24.0934,32.907,Nuba Nile
419,Progreso,MX,78.91,broken clouds,21.2833,-89.6667,Playa Linda Hotel
423,Marawi,PH,74.19,scattered clouds,7.9986,124.2928,Derogongan Residence
430,Tezu,IN,70.88,overcast clouds,27.9167,96.1667,Circuit House
432,Yeppoon,AU,78.58,broken clouds,-23.1333,150.7333,Villa Mar Colina
433,West Plains,US,74.23,clear sky,36.7281,-91.8524,West Plains Motel
434,La Cruz,MX,79.45,scattered clouds,23.9167,-106.9,Jesús angel
436,Morant Bay,JM,82.02,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
438,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
444,Valera,VE,74.25,overcast clouds,9.3178,-70.6036,Hotel Camino Real
449,Porto Novo,BJ,80.1,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
451,Biak,ID,79.52,overcast clouds,-0.9131,122.8766,Penginapan Kim
452,Hollister,US,76.08,clear sky,36.8525,-121.4016,Hollister Inn
455,Guane,CU,76.77,few clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
457,Mattru,SL,77.58,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
464,Tomatlan,MX,82.2,overcast clouds,19.9333,-105.25,El Salvial
468,Barras,BR,74.57,moderate rain,-4.2444,-42.2944,Hotel Alvorada
471,Noumea,NC,80.58,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
475,Wewak,PG,83.7,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
478,Baculin,PH,81.07,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
482,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
486,Sola,VU,84.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
496,Tamandare,BR,76.86,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
499,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
500,Santa Cruz,BO,72.86,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
507,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
517,Elat,IL,75.04,clear sky,29.5581,34.9482,Club Hotel Eilat
518,Mecca,SA,84.72,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
519,Atar,MR,79.92,broken clouds,20.5169,-13.0499,Oumou Elghoura
520,Myitkyina,MM,70.43,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
526,Matara,LK,79.36,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
530,Pacific Grove,US,71.55,broken clouds,36.6177,-121.9166,Lovers Point Inn
531,La Asuncion,VE,79.48,broken clouds,11.0333,-63.8628,Colinas de Matasiete
532,Lethem,GY,81.01,broken clouds,3.3803,-59.7968,Savannah Inn
535,Bongaigaon,IN,70.79,broken clouds,26.4782,90.5568,Hotel NEER
537,Lompoc,US,79.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
538,Ponce,PR,73.51,moderate rain,18.073,-66.6185,Motel Golden Hills
544,Razole,IN,79.0,few clouds,16.4833,81.8333,Sterling Palavelli Godavari
547,Dodge City,US,70.23,clear sky,37.7528,-100.0171,Windsor Inn & Suites
548,Coffs Harbour,AU,71.56,scattered clouds,-30.3,153.1333,Aquajet Motel
553,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
554,Tabuk,PH,81.55,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
556,Porto Walter,BR,73.2,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
557,Nishihara,JP,70.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
560,Pozo Colorado,PY,72.05,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
567,Puerto Quijarro,BO,77.63,few clouds,-17.7833,-57.7667,Hotel palance
568,Chino Valley,US,81.41,clear sky,34.7575,-112.4538,Primrose Inn & Suites
573,Port Blair,IN,82.31,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
579,Ambon,ID,83.73,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
582,Buala,SB,84.63,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
584,Corrales,US,79.88,clear sky,35.2378,-106.6067,Quality Inn
587,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
589,Khorramshahr,IR,75.16,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
590,Nagercoil,IN,80.96,overcast clouds,8.1667,77.4333,JS Homestay
591,Cayenne,GF,82.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
594,Abu Zabad,SD,81.46,clear sky,12.35,29.25,حامد محمد نور
595,Vao,NC,75.02,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
597,Cienfuegos,CU,77.14,few clouds,22.1461,-80.4356,Casa Claumar B2BPay
599,Meulaboh,ID,79.88,light rain,4.1363,96.1285,Kost Pria
601,Bansdih,IN,79.79,scattered clouds,25.8833,84.2167,Shivam Fast Food Bansdih Badi Bazzar
611,Mananara,MG,70.59,clear sky,-16.1667,49.7667,Chez Roger
616,Alizai,PK,76.84,clear sky,33.5383,70.3462,Alizai Rest House
617,Badlapur,IN,79.79,clear sky,19.15,73.2667,Rainy Resort and Water Park
619,Wahiawa,US,80.92,broken clouds,21.5028,-158.0236,The Inn At Schofield
620,Jaque,PA,80.38,light rain,7.5175,-78.1703,Aventuras Jaque S.A
621,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
623,Patterson,US,79.02,clear sky,37.4716,-121.1297,Best Western Plus Villa Del Lago Inn
624,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
626,Siocon,PH,84.92,overcast clouds,7.7061,122.1353,ABS Hotel
627,Portel,BR,74.62,moderate rain,-1.9356,-50.8211,Kitnet do Marcos
636,Kampot,KH,80.65,overcast clouds,10.6167,104.1833,Two Moons Hotel
637,Tahta,EG,74.84,broken clouds,26.7693,31.5021,فندق الزيات
638,Tual,ID,84.38,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
639,Perambalur,IN,84.04,broken clouds,11.2333,78.8833,Nataraja Lodge
640,Rio De Janeiro,BR,75.0,broken clouds,-22.9028,-43.2075,Hotel cruz de ouro
641,Soyo,AO,77.72,overcast clouds,-6.1349,12.3689,Hotel Mpampa
644,Gagnoa,CI,73.11,overcast clouds,6.1293,-5.9437,Residence Kiliyo
647,Veraval,IN,81.23,clear sky,20.9,70.3667,Lords Inn Somnath
649,Port Hedland,AU,77.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
651,Russell,US,72.63,few clouds,32.3502,-85.1999,Macs
652,Pokhara,NP,70.75,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
653,Niquero,CU,77.76,clear sky,20.0431,-77.5828,Islazul Niquero
661,Chimore,BO,70.07,clear sky,-16.9833,-65.1333,Bichito
662,Auki,SB,84.6,overcast clouds,-8.7676,160.7034,Auki Motel
663,Charters Towers,AU,80.53,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
