City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Plaster Rock,CA,2022-04-23 18:05:42,46.9065,-67.39,41.52,33,2,15.26
1,Kiama,AU,2022-04-23 18:01:49,-34.6833,150.8667,61.0,92,19,4.09
2,Rosita,NI,2022-04-23 18:05:43,13.9268,-84.4032,90.46,45,58,4.61
3,Rikitea,PF,2022-04-23 18:05:43,-23.1203,-134.9692,75.18,74,100,4.99
4,Ushuaia,AR,2022-04-23 18:05:44,-54.8,-68.3,46.06,71,75,9.22
5,Albany,US,2022-04-23 18:02:55,42.6001,-73.9662,59.18,33,56,1.01
6,Scarborough,GB,2022-04-23 18:05:44,54.2797,-0.4044,49.57,86,1,8.01
7,Upernavik,GL,2022-04-23 18:05:45,72.7868,-56.1549,12.79,85,100,11.1
8,Bilibino,RU,2022-04-23 18:05:45,68.0546,166.4372,5.86,96,100,2.95
9,Saint-Philippe,RE,2022-04-23 18:05:45,-21.3585,55.7679,73.22,80,39,11.25
10,Puerto Ayora,EC,2022-04-23 18:05:46,-0.7393,-90.3518,76.96,79,34,9.53
11,Punta Arenas,CL,2022-04-23 18:05:46,-53.15,-70.9167,44.71,93,100,9.22
12,Bambous Virieux,MU,2022-04-23 18:05:47,-20.3428,57.7575,77.25,69,75,17.27
13,Bredasdorp,ZA,2022-04-23 18:05:47,-34.5322,20.0403,58.89,66,79,8.08
14,Samarai,PG,2022-04-23 18:05:48,-10.6167,150.6667,81.73,79,58,9.98
15,New Norfolk,AU,2022-04-23 18:05:48,-42.7826,147.0587,47.71,79,83,2.89
16,Teguise,ES,2022-04-23 18:05:49,29.0605,-13.564,62.82,72,75,9.22
17,Castro,BR,2022-04-23 18:01:15,-24.7911,-50.0119,65.64,86,100,9.64
18,East London,ZA,2022-04-23 18:03:05,-33.0153,27.9116,63.14,92,100,3.76
19,Faanui,PF,2022-04-23 18:05:49,-16.4833,-151.75,80.44,74,99,6.64
20,Saskylakh,RU,2022-04-23 18:05:48,71.9167,114.0833,-12.87,100,83,2.71
21,Praia Da Vitoria,PT,2022-04-23 18:05:50,38.7333,-27.0667,60.76,70,76,15.1
22,Khatanga,RU,2022-04-23 18:05:51,71.9667,102.5,-11.24,100,23,1.95
23,Leisure City,US,2022-04-23 18:05:51,25.4954,-80.4292,84.22,63,20,20.71
24,Port Alfred,ZA,2022-04-23 18:05:51,-33.5906,26.891,59.18,96,100,8.14
25,Victoria,HK,2022-04-23 18:05:47,22.2855,114.1577,78.96,89,9,4.0
26,Actopan,MX,2022-04-23 18:05:52,20.2667,-98.9333,75.38,32,2,5.95
27,Naliya,IN,2022-04-23 18:05:52,23.2667,68.8333,80.8,73,50,9.4
28,Harper,LR,2022-04-23 18:05:53,4.375,-7.7169,82.45,76,98,7.2
